msg_type,mass,time,ax,ay,az,ax_local,ay_local,az_local,pitch,roll,yaw,vx,vy,vz,vx_local,vy_local,vz_local,x,y,z,qw,qx,qy,qz,apogee,baro_altitude,altitude,baro_pressure,baro_temperature,air_density,drag_coefficient,p,i,d,pid,brake_target_deployment
138,0.5,0.0,-1.3292101621627808,3.113617181777954,-0.07308963686227798,2.9456541538238525,1.2686164379119873,1.0864145755767822,0.3094661235809326,-0.1637205183506012,1.5386039018630981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6986671090126038,-0.16489042341709137,0.05414498597383499,0.6940715909004211,0.0,0.09373467415571213,0.0,1021.9725341796875,8.084369659423828,1.267482876777649,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.2424812316894531,3.0356807708740234,-0.18740849196910858,2.8955881595611572,1.237761378288269,0.9367867112159729,0.3071770966053009,-0.1641472429037094,1.5269941091537476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028397917747498,-0.16395431756973267,0.05412983149290085,0.6900699734687805,0.0,0.0,0.0,1021.97265625,8.079694747924805,1.267504096031189,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.3089991807937622,2.985924243927002,-0.14453987777233124,2.817401647567749,1.333491325378418,0.9664287567138672,0.3049532175064087,-0.1642926037311554,1.514954686164856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071539163589478,-0.16293445229530334,0.054260604083538055,0.6858812570571899,0.0,0.023065807297825813,0.0,1021.987060546875,8.079694747924805,1.2675219774246216,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.2191665172576904,3.041736364364624,-0.16468434035778046,2.867523670196533,1.2833906412124634,0.9464043378829956,0.30263444781303406,-0.16496680676937103,1.5033485889434814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7112594842910767,-0.16208717226982117,0.05413110926747322,0.6818349957466125,0.0,0.0,0.0,1021.9783935546875,8.079694747924805,1.2675111293792725,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.228158950805664,3.021392822265625,-0.08413413912057877,2.808500051498413,1.3164467811584473,1.0116230249404907,0.30016013979911804,-0.1653095930814743,1.4910370111465454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7156199812889099,-0.16105788946151733,0.0541057214140892,0.6775045990943909,0.0,-0.25617310404777527,0.0,1021.9899291992188,8.083200454711914,1.2675096988677979,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.1772342920303345,2.9389939308166504,-0.14225010573863983,2.736595630645752,1.3073019981384277,0.9195842742919922,0.29784536361694336,-0.1657552272081375,1.4791996479034424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7197723388671875,-0.16013698279857635,0.0540558323264122,0.6733152270317078,0.0,0.0,0.0,1021.984130859375,8.083200454711914,1.2675025463104248,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.1725709438323975,2.930499315261841,-0.1397600620985031,2.7123606204986572,1.3388314247131348,0.9125479459762573,0.2952568829059601,-0.16592775285243988,1.4665381908416748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7242192029953003,-0.15901200473308563,0.05405241623520851,0.6687986254692078,0.0,-0.25617310404777527,0.0,1021.987060546875,8.082032203674316,1.2675113677978516,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.048895001411438,2.9342570304870605,-0.05593971163034439,2.689937114715576,1.2383406162261963,0.9714712500572205,0.29286372661590576,-0.16658367216587067,1.4544966220855713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283766269683838,-0.15814919769763947,0.05390007421374321,0.6644866466522217,0.0,0.0,0.0,1021.984130859375,8.082032203674316,1.267507791519165,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.172804594039917,2.9793496131896973,-0.19466499984264374,2.742439031600952,1.422254204750061,0.8636736273765564,0.2900419533252716,-0.1669229418039322,1.4419151544570923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7327456474304199,-0.15702584385871887,0.053725723177194595,0.6599481701850891,0.0,0.023556767031550407,0.0,1021.9898681640625,8.085537910461426,1.2674990892410278,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.0087679624557495,2.9180705547332764,-0.1007862463593483,2.663694381713867,1.2753965854644775,0.9060015678405762,0.2870056927204132,-0.1671910583972931,1.4299591779708862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736903190612793,-0.15583287179470062,0.0534331351518631,0.6556112766265869,0.0,0.0,0.0,1021.984130859375,8.085537910461426,1.2674919366836548,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.0247275829315186,2.9334566593170166,-0.11627963930368423,2.6651058197021484,1.330759882926941,0.8915615677833557,0.2840992510318756,-0.16759906709194183,1.4174226522445679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412014007568359,-0.15472625195980072,0.05317656695842743,0.6510331630706787,0.0,-0.11581900715827942,0.0,1021.984130859375,8.082032203674316,1.267507791519165,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.0380933284759521,2.996581554412842,-0.06281951814889908,2.693047285079956,1.3769601583480835,0.9551916718482971,0.28096312284469604,-0.16778264939785004,1.4054512977600098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453227043151855,-0.15348787605762482,0.052849967032670975,0.6466327905654907,0.0,0.0,0.0,1021.9783325195312,8.085537910461426,1.2674847841262817,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-0.9328321218490601,2.940044641494751,-0.1767445057630539,2.671968936920166,1.322102427482605,0.8110119104385376,0.27796033024787903,-0.1679135411977768,1.3926501274108887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.749675989151001,-0.15225869417190552,0.05264141410589218,0.6418905258178711,0.0,-0.047113168984651566,0.0,1021.9754638671875,8.084369659423828,1.2674864530563354,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-0.9287868738174438,2.8632121086120605,-0.01709369570016861,2.5411465167999268,1.3171701431274414,0.9318820834159851,0.2747405767440796,-0.16800060868263245,1.3801727294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7539149522781372,-0.1509629637002945,0.05232532322406769,0.6372409462928772,0.0,0.0,0.0,1021.9725341796875,8.084369659423828,1.267482876777649,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-0.8329595327377319,2.867036819458008,-0.045819319784641266,2.5550341606140137,1.2641712427139282,0.8884483575820923,0.2716449797153473,-0.16832976043224335,1.3673087358474731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7582175135612488,-0.14979666471481323,0.05199536308646202,0.6324201226234436,0.0,0.023065999150276184,0.0,1021.9696655273438,8.083200454711914,1.2674845457077026,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-0.863701581954956,2.8768186569213867,0.04475494474172592,2.519237995147705,1.314929485321045,0.9738151431083679,0.2686117887496948,-0.16824188828468323,1.3550870418548584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7623122334480286,-0.14851728081703186,0.051759909838438034,0.6278018355369568,0.0,0.0,0.0,1021.9783325195312,8.084369659423828,1.267490029335022,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-0.8620927333831787,2.876789093017578,-0.0541706457734108,2.5298376083374023,1.364720344543457,0.8714126348495483,0.2651733160018921,-0.16803312301635742,1.3423253297805786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7665854096412659,-0.14706309139728546,0.051429927349090576,0.6229491829872131,0.0,-0.02355671115219593,0.0,1021.9869995117188,8.085537910461426,1.2674955129623413,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-0.7655643820762634,2.778820753097534,-0.022465743124485016,2.435777425765991,1.2812069654464722,0.85661780834198,0.26205703616142273,-0.16817232966423035,1.3298542499542236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7706853747367859,-0.14585702121257782,0.05108102411031723,0.618184506893158,0.0,0.0,0.0,1021.9754638671875,8.083200454711914,1.2674916982650757,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
