msg_type,mass,time,ax,ay,az,ax_local,ay_local,az_local,pitch,roll,yaw,vx,vy,vz,vx_local,vy_local,vz_local,x,y,z,qw,qx,qy,qz,apogee,baro_altitude,altitude,baro_pressure,baro_temperature,air_pressure,air_density,air_temperature,drag_coefficient,
138,0.477999985218048,42.6162567138672,-0.724016845226288,0.660495817661285,-0.448079138994217,-0.151992306113243,-1.03085088729858,-0.274691969156265,0.984192252159119,1.54262125492096,-0.486303985118866,-17.6674785614014,27.013599395752,-17.12548828125,-1.3713047504425,-32.548656463623,-16.5480937957764,-123.155281066895,150.589752197266,-96.6071090698242,0.534032762050629,0.677849292755127,0.180885344743729,-0.471806794404984,-23.587459564209,25061.25,-6.47556304931641,1002.45001220703,11.3125,0.00000000004563852074,nan,8.57289444453153E+023,0,1.13012072805803E-034
138,0.477999985218048,42.7168655395508,-0.723518908023834,0.68567568063736,-0.4981909096241,-0.116473495960236,-1.06745052337646,-0.297973930835724,0.984124004840851,1.54362678527832,-0.485439717769623,-17.6877574920654,27.0349731445312,-17.1402015686035,-1.36928200721741,-32.5843963623047,-16.5497360229492,-123.69214630127,151.41047668457,-97.1274261474609,0.533912122249603,0.678045392036438,0.180917426943779,-0.471649408340454,-23.6840000152588,25061.25,-6.55679845809937,1002.45001220703,11.3125,6.54245645425231E-020,6.3190960277545E-035,-1.96942526997062E+024,0,-1.9563281559347E+037
138,0.477999985218048,42.8309097290039,-0.681084990501404,0.659894585609436,-0.50812441110611,-0.0806685537099838,-1.03179979324341,-0.293923854827881,0.984107613563538,1.54437494277954,-0.484670042991638,-17.710334777832,27.0581645965576,-17.1558132171631,-1.36717963218689,-32.6201324462891,-16.5577259063721,-124.290008544922,152.32405090332,-97.7066497802734,0.533843755722046,0.678176820278168,0.180996358394623,-0.471507459878922,-23.7083835601807,25062.1875,-6.55626249313355,1002.48748779297,11.375,-0.492644488811493,6.17989326244939E-038,-0.00000000000134906517,0,3.12218623119606E-025
138,0.477999985218048,42.931510925293,-0.751908600330353,0.670540928840637,-0.390046149492264,-0.216214314103127,-1.02340996265411,-0.270171254873276,0.984263420104981,1.5447781085968,-0.484189122915268,-17.731050491333,27.0791549682617,-17.1693534851074,-1.36213505268097,-32.6510391235352,-16.5677433013916,-124.828483581543,153.146560668945,-98.2281494140625,0.533783376216888,0.678227782249451,0.18111826479435,-0.471455752849579,-23.7356510162353,25062.1875,-6.56945419311523,1002.48748779297,11.375,-7.1883687358173E+025,-8.10938348910538E+037,-4.47574538669777E-016,0,4.53182083996026E+025
138,0.477999985218048,43.0321197509766,-0.674532055854797,0.691450536251068,-0.532197058200836,-0.0651950389146805,-1.05176997184753,-0.32533198595047,0.98431384563446,1.5451945066452,-0.483838796615601,-17.751708984375,27.0998458862305,-17.1833591461182,-1.36119914054871,-32.6839256286621,-16.5734348297119,-125.367576599121,153.969696044922,-98.7500534057617,0.533712685108185,0.678302884101868,0.181156381964684,-0.471412986516953,-23.761646270752,25062.1875,-6.58214855194092,1002.48748779297,11.375,0.00000000004563852074,nan,8.57289444453153E+023,0,1.13012072805803E-034
138,0.477999985218048,43.1461715698242,-0.706520855426788,0.637771427631378,-0.463806182146072,-0.124151825904846,-1.01832675933838,-0.26195302605629,0.984032034873962,1.54630386829376,-0.482719272375107,-17.7741317749023,27.123872756958,-17.1989650726318,-1.36495006084442,-32.7206535339355,-16.5802001953125,-125.967727661133,154.885681152344,-99.3308715820313,0.533667325973511,0.678521454334259,0.181177198886871,-0.471141934394836,-23.7619800567627,25062.875,-6.55998992919922,1002.51501464844,11.375,6.54245645425231E-020,6.3190960277545E-035,-1.96942526997062E+024,0,-1.9563281559347E+037
138,0.477999985218048,43.2467727661133,-0.745308399200439,0.693623900413513,-0.452154189348221,-0.167123302817345,-1.06133568286896,-0.294377893209457,0.984049558639526,1.54694294929504,-0.482129722833633,-17.7951984405518,27.1447830200195,-17.2125644683838,-1.36358189582825,-32.7540473937988,-16.5852947235107,-126.507995605469,155.7099609375,-99.8535385131836,0.533585071563721,0.678636968135834,0.181232869625092,-0.471047103404999,-23.7426433563232,25062.875,-6.52735280990601,1002.51501464844,11.375,-0.492644488811493,6.17989326244939E-038,-0.00000000000134906517,0,3.12218623119606E-025
138,0.477999985218048,43.3473815917969,-0.569253623485565,0.70701676607132,-0.421592742204666,-0.109548188745976,-0.917627394199371,-0.384194910526276,0.984077036380768,1.54758834838867,-0.481744319200516,-17.8156547546387,27.1648025512695,-17.2256889343262,-1.36354291439056,-32.7893409729004,-16.5839176177979,-127.048622131348,156.534408569336,-100.376358032227,0.533450305461884,0.67877185344696,0.181221127510071,-0.471009880304337,-23.7252311706543,25062.875,-6.49706077575684,1002.51501464844,11.375,-7.1883687358173E+025,-8.10938348910538E+037,-4.47574538669777E-016,0,4.53182083996026E+025
138,0.477999985218048,43.4479827880859,-0.696531057357788,0.590226233005524,-0.504827558994293,-0.0724485591053963,-1.01635921001434,-0.223878085613251,0.984300494194031,1.54802227020264,-0.481355488300324,-17.8368587493896,27.1853313446045,-17.2401065826416,-1.35639262199402,-32.8228225708008,-16.5897045135498,-127.590301513672,157.360137939453,-100.899993896484,0.533341646194458,0.678833425045013,0.181327998638153,-0.471003323793411,-23.7113018035889,25062.875,-6.46963024139404,1002.51501464844,11.375,0.00000000004563852074,nan,8.57289444453153E+023,0,1.13012072805803E-034
138,0.477999985218048,43.5620574951172,-0.735840082168579,0.631567358970642,-0.463134795427322,-0.136985331773758,-1.03785741329193,-0.242692708969116,0.984312117099762,1.54852414131165,-0.480932295322418,-17.8596515655518,27.2080116271973,-17.2560253143311,-1.35600709915161,-32.8594551086426,-16.5954399108887,-128.19303894043,158.278564453125,-101.482467651367,0.533267974853516,0.678927719593048,0.181357637047768,-0.470939040184021,-23.6778526306152,25063,-6.41924095153809,1002.52001953125,11.375,6.54245645425231E-020,6.3190960277545E-035,-1.96942526997062E+024,0,-1.9563281559347E+037
138,0.477999985218048,43.6626586914062,-0.687446057796478,0.517678439617157,-0.434368163347244,-0.107961006462574,-0.944104850292206,-0.162001043558121,0.984370231628418,1.54884159564972,-0.480580389499664,-17.8797607421875,27.228063583374,-17.2695331573486,-1.35474491119385,-32.8897933959961,-16.6040515899658,-128.735748291016,159.105163574219,-102.006736755371,0.533229410648346,0.678975582122803,0.181422337889671,-0.470889031887054,-23.6610164642334,25063,-6.38920879364014,1002.52001953125,11.375,-0.492644488811493,6.17989326244939E-038,-0.00000000000134906517,0,3.12218623119606E-025
138,0.477999985218048,43.7632675170898,-0.648592531681061,0.688577353954315,-0.51593691110611,-0.0645603537559509,-1.0225875377655,-0.333361774682999,0.984431445598602,1.54900944232941,-0.480280160903931,-17.9005908966064,27.2489757537842,-17.2838020324707,-1.35375642776489,-32.9196357727051,-16.6165885925293,-129.279083251953,159.932373046875,-102.53141784668,0.533228635787964,0.678987860679626,0.181505873799324,-0.470840066671371,-23.6468868255615,25063,-6.36162233352661,1002.52001953125,11.375,-7.1883687358173E+025,-8.10938348910538E+037,-4.47574538669777E-016,0,4.53182083996026E+025
138,0.477999985218048,43.8638763427734,-0.66542786359787,0.675483167171478,-0.40376952290535,-0.162482589483261,-0.968442142009735,-0.312735855579376,0.984906673431397,1.54882574081421,-0.480534464120865,-17.9222011566162,27.2681732177734,-17.2968292236328,-1.34482491016388,-32.9511489868164,-16.6231842041016,-129.823348999023,160.760635375977,-103.056785583496,0.53311824798584,0.678921282291412,0.181626841425896,-0.471014320850372,-23.6350326538086,25063,-6.33657312393189,1002.52001953125,11.375,0.00000000004563852074,nan,8.57289444453153E+023,0,1.13012072805803E-034
