msg_type,mass,time,ax,ay,az,ax_local,ay_local,az_local,pitch,roll,yaw,vx,vy,vz,vx_local,vy_local,vz_local,x,y,z,qw,qx,qy,qz,apogee,baro_altitude,altitude,baro_pressure,baro_temperature,air_pressure,air_density,air_temperature,drag_coefficient
138,0.4169999957084656,0.0,5.445576190948486,2.923758029937744,-3.080343246459961,6.807345867156982,0.04345381632447243,-1.161258339881897,0.6244098544120789,-2.874476194381714,0.5491368770599365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039437972009181976,-0.9189390540122986,-0.21635577082633972,0.32737961411476135,0.0,-0.1875,0.0,2621.4326171875,25.5625,-1.9296130394952615e+34,-8.109383489105384e+37,-8.961248592947915e-16,0.0,4.531819456454457e+25
138,0.4169999957084656,0.0,6.228057384490967,2.724301338195801,-0.8380728363990784,6.384189128875732,0.1603236049413681,-2.4755842685699463,0.4780023992061615,-2.8977744579315186,0.5233772993087769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333634838461876,-0.9389753937721252,-0.22168304026126862,0.2575434446334839,0.0,-0.1875,0.0,2621.4326171875,25.5625,1.7827547164200874e-13,nan,2.512381248477428e-15,0.0,4.854334959406084e-25
138,0.4169999957084656,0.0,5.629306793212891,3.1020312309265137,-2.3839120864868164,6.8267903327941895,-0.05533003434538841,0.6211270689964294,0.268669456243515,-2.9158647060394287,0.473625510931015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07727321982383728,-0.9607382416725159,-0.21634866297245026,0.1555495411157608,0.0,-0.25,0.0,2621.429931640625,25.5625,3.354608355988929e-20,6.31432058195428e-35,-1.9694252699706225e+24,0.0,-1.9895584755341426e+37
138,0.4169999957084656,0.0,3.8858041763305664,1.459825038909912,0.4703225791454315,4.1659016609191895,-0.1265898048877716,-0.2840881943702698,-0.040087055414915085,-2.94111704826355,0.34311020374298096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10198511183261871,-0.9798310399055481,-0.17179924249649048,-0.0025690088514238596,0.0,-0.25,0.0,2621.429931640625,25.5625,-1.9705779552459717,6.179893262449391e-38,-0.0057942504063248634,0.0,2.0355675719598315e-20
138,0.4169999957084656,0.0,5.368462085723877,3.4843082427978516,-1.9350991249084473,6.167384624481201,-0.7852415442466736,2.459958076477051,-0.05049331113696098,-2.9370903968811035,0.37617942690849304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10493594408035278,-0.9764348268508911,-0.18847724795341492,-0.00558960996568203,0.0,-0.25,0.0,2621.429931640625,25.5625,-1.9296130394952615e+34,-8.109383489105384e+37,-8.961248592947915e-16,0.0,4.531819456454457e+25
138,0.4169999957084656,0.0,4.920727729797363,2.6439154148101807,-1.4577198028564453,5.151731014251709,-0.17876724898815155,2.5992159843444824,-0.19504450261592865,-2.9299211502075195,0.36363351345062256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12091013789176941,-0.9715024828910828,-0.1890660673379898,-0.07621709257364273,0.0,-0.0625,0.0,2621.4375,25.5625,1.7827547164200874e-13,nan,2.512381248477428e-15,0.0,4.854334959406084e-25
138,0.4169999957084656,0.0,4.804078578948975,3.5503551959991455,-2.110586166381836,4.449667453765869,-0.7058516144752502,4.454247951507568,-0.4079969823360443,-2.939993143081665,0.3681584894657135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1337709277868271,-0.9540972113609314,-0.19837705790996552,-0.18011653423309326,0.0,-0.0625,0.0,2621.4375,25.5625,3.354608355988929e-20,6.31432058195428e-35,-1.9694252699706225e+24,0.0,-1.9895584755341426e+37
138,0.4169999957084656,0.0,4.419218063354492,2.9289727210998535,-0.4995098412036896,3.6938304901123047,-0.5273013710975647,3.7993364334106445,-0.6864829063415527,-2.986889123916626,0.3750676214694977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13404719531536102,-0.9175384044647217,-0.20058579742908478,-0.3160874843597412,0.0,-0.0625,0.0,2621.4375,25.5625,-1.9705779552459717,6.179893262449391e-38,-0.0057942504063248634,0.0,2.0355675719598315e-20
138,0.4169999957084656,0.0,5.514237880706787,4.118569374084473,-1.6634893417358398,3.2172627449035645,-0.8303923606872559,6.252635955810547,-0.8391745090484619,-3.0002856254577637,0.39151784777641296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14228272438049316,-0.8879796862602234,-0.20540428161621094,-0.3860679268836975,0.0,-0.0625,0.0,2621.4375,25.5625,-1.9296130394952615e+34,-8.109383489105384e+37,-8.961248592947915e-16,0.0,4.531819456454457e+25
138,0.4169999957084656,0.0,4.135326385498047,3.2713687419891357,-1.2789793014526367,1.5443105697631836,-0.7123067378997803,5.1522603034973145,-1.0140600204467773,-2.937910795211792,0.33302542567253113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16771091520786285,-0.849443256855011,-0.1928246170282364,-0.4616592228412628,0.0,-0.3125,0.0,2621.427490234375,25.5625,1.7827547164200874e-13,nan,2.512381248477428e-15,0.0,4.854334959406084e-25
